date,home_team,away_team,League,B365H,B365D,B365A,BWH,BWD,BWA,competition_id
2014-01-20,West Brom,Everton,"Premier League, England (GB1)",3.5,3.4,2.25,3.2,3.25,2.25,GB1
2014-01-28,Crystal Palace,Hull,"Premier League, England (GB1)",2.5,3.2,3.2,2.5,3.0,3.0,GB1
2014-01-28,Liverpool,Everton,"Premier League, England (GB1)",1.83,3.9,4.5,1.75,3.8,4.33,GB1
2014-01-28,Man United,Cardiff,"Premier League, England (GB1)",1.25,6.5,15.0,1.22,6.0,12.5,GB1
2014-01-28,Norwich,Newcastle,"Premier League, England (GB1)",2.7,3.4,2.8,2.55,3.3,2.7,GB1
2014-01-28,Southampton,Arsenal,"Premier League, England (GB1)",4.33,3.5,1.95,4.1,3.5,1.87,GB1
2014-01-28,Swansea,Fulham,"Premier League, England (GB1)",1.75,3.75,5.25,1.7,3.5,5.25,GB1
2014-01-29,Aston Villa,West Brom,"Premier League, England (GB1)",2.6,3.3,3.0,2.5,3.25,2.8,GB1
2014-01-29,Chelsea,West Ham,"Premier League, England (GB1)",1.18,8.0,19.0,1.2,6.5,13.0,GB1
2014-01-29,Sunderland,Stoke,"Premier League, England (GB1)",2.1,3.4,3.9,2.0,3.3,3.8,GB1
2014-01-29,Tottenham,Man City,"Premier League, England (GB1)",3.75,3.75,2.05,3.5,3.6,2.0,GB1
2014-02-01,Cardiff,Norwich,"Premier League, England (GB1)",2.3,3.4,3.4,2.2,3.25,3.3,GB1
2014-02-01,Everton,Aston Villa,"Premier League, England (GB1)",1.53,4.33,7.0,1.42,4.33,7.5,GB1
2014-02-01,Fulham,Southampton,"Premier League, England (GB1)",3.6,3.4,2.2,3.4,3.3,2.15,GB1
2014-02-01,Hull,Tottenham,"Premier League, England (GB1)",4.0,3.5,2.05,3.75,3.5,1.95,GB1
2014-02-01,Newcastle,Sunderland,"Premier League, England (GB1)",1.95,3.5,4.33,1.8,3.5,4.4,GB1
2014-02-01,Stoke,Man United,"Premier League, England (GB1)",7.0,4.0,1.57,6.0,3.9,1.55,GB1
2014-02-01,West Ham,Swansea,"Premier League, England (GB1)",2.9,3.4,2.6,2.85,3.25,2.45,GB1
2014-02-02,Arsenal,Crystal Palace,"Premier League, England (GB1)",1.22,7.0,16.0,1.2,6.5,12.5,GB1
2014-02-02,West Brom,Liverpool,"Premier League, England (GB1)",5.75,4.33,1.62,5.75,3.6,1.62,GB1
2014-02-03,Man City,Chelsea,"Premier League, England (GB1)",1.85,3.8,4.5,1.8,3.75,4.1,GB1
2014-02-08,Aston Villa,West Ham,"Premier League, England (GB1)",2.1,3.5,3.8,2.0,3.3,3.8,GB1
2014-02-08,Chelsea,Newcastle,"Premier League, England (GB1)",1.25,6.25,15.0,1.25,5.5,12.0,GB1
2014-02-08,Crystal Palace,West Brom,"Premier League, England (GB1)",2.6,3.3,3.0,2.5,3.2,2.85,GB1
2014-02-08,Liverpool,Arsenal,"Premier League, England (GB1)",2.2,3.6,3.4,2.1,3.5,3.25,GB1
2014-02-08,Norwich,Man City,"Premier League, England (GB1)",9.0,5.5,1.36,9.0,5.25,1.31,GB1
2014-02-08,Southampton,Stoke,"Premier League, England (GB1)",1.55,4.0,7.5,1.5,4.2,6.25,GB1
2014-02-08,Sunderland,Hull,"Premier League, England (GB1)",2.15,3.4,3.8,2.1,3.2,3.6,GB1
2014-02-08,Swansea,Cardiff,"Premier League, England (GB1)",1.85,3.6,4.75,1.75,3.7,4.5,GB1
2014-02-09,Man United,Fulham,"Premier League, England (GB1)",1.2,7.0,19.0,1.2,6.25,14.0,GB1
2014-02-09,Tottenham,Everton,"Premier League, England (GB1)",2.1,3.5,3.75,2.05,3.3,3.6,GB1
2014-02-11,Cardiff,Aston Villa,"Premier League, England (GB1)",2.5,3.4,3.0,2.45,3.2,2.9,GB1
2014-02-11,Hull,Southampton,"Premier League, England (GB1)",3.0,3.25,2.6,2.85,3.2,2.5,GB1
2014-02-11,West Brom,Chelsea,"Premier League, England (GB1)",7.5,4.5,1.5,7.0,4.25,1.45,GB1
2014-02-11,West Ham,Norwich,"Premier League, England (GB1)",2.05,3.5,4.0,2.0,3.4,3.7,GB1
2014-02-12,Arsenal,Man United,"Premier League, England (GB1)",2.15,3.5,3.6,2.1,3.4,3.4,GB1
2014-02-12,Fulham,Liverpool,"Premier League, England (GB1)",8.0,5.25,1.4,7.25,4.5,1.42,GB1
2014-02-12,Newcastle,Tottenham,"Premier League, England (GB1)",3.3,3.5,2.3,3.0,3.5,2.25,GB1
2014-02-12,Stoke,Swansea,"Premier League, England (GB1)",2.7,3.25,2.9,2.5,3.2,2.85,GB1
2014-02-22,Arsenal,Sunderland,"Premier League, England (GB1)",1.33,5.5,11.0,1.28,5.25,10.5,GB1
2014-02-22,Cardiff,Hull,"Premier League, England (GB1)",2.75,3.2,2.88,2.5,3.1,2.9,GB1
2014-02-22,Chelsea,Everton,"Premier League, England (GB1)",1.57,4.0,7.0,1.53,4.1,6.0,GB1
2014-02-22,Crystal Palace,Man United,"Premier League, England (GB1)",6.5,4.0,1.6,6.5,3.6,1.57,GB1
2014-02-22,Man City,Stoke,"Premier League, England (GB1)",1.18,8.0,19.0,1.16,7.5,14.5,GB1
2014-02-22,West Brom,Fulham,"Premier League, England (GB1)",1.8,3.9,4.75,1.72,3.8,4.5,GB1
2014-02-22,West Ham,Southampton,"Premier League, England (GB1)",3.2,3.4,2.4,3.0,3.25,2.35,GB1
2014-02-23,Liverpool,Swansea,"Premier League, England (GB1)",1.3,5.75,12.0,1.31,5.25,9.0,GB1
2014-02-23,Newcastle,Aston Villa,"Premier League, England (GB1)",2.1,3.4,3.9,2.05,3.25,3.7,GB1
2014-02-23,Norwich,Tottenham,"Premier League, England (GB1)",3.8,3.5,2.1,3.7,3.4,2.0,GB1
2014-03-01,Everton,West Ham,"Premier League, England (GB1)",1.53,4.2,7.5,1.5,4.0,6.75,GB1
2014-03-01,Fulham,Chelsea,"Premier League, England (GB1)",8.0,4.75,1.45,6.75,4.33,1.45,GB1
2014-03-01,Hull,Newcastle,"Premier League, England (GB1)",2.45,3.2,3.3,2.4,3.3,3.1,GB1
2014-03-01,Southampton,Liverpool,"Premier League, England (GB1)",3.75,3.75,2.05,3.75,3.5,2.05,GB1
2014-03-01,Stoke,Arsenal,"Premier League, England (GB1)",5.5,3.8,1.73,5.25,3.7,1.65,GB1
2014-03-02,Aston Villa,Norwich,"Premier League, England (GB1)",2.1,3.4,3.9,1.95,3.4,3.75,GB1
2014-03-02,Swansea,Crystal Palace,"Premier League, England (GB1)",1.85,3.5,5.0,1.75,3.3,5.0,GB1
2014-03-02,Tottenham,Cardiff,"Premier League, England (GB1)",1.33,5.25,12.0,1.31,5.0,9.75,GB1
2014-03-08,Cardiff,Fulham,"Premier League, England (GB1)",2.35,3.5,3.2,2.25,3.2,3.25,GB1
2014-03-08,Chelsea,Tottenham,"Premier League, England (GB1)",1.57,4.0,7.0,1.57,3.75,6.25,GB1
2014-03-08,Crystal Palace,Southampton,"Premier League, England (GB1)",3.9,3.3,2.15,3.5,3.25,2.1,GB1
2014-03-08,Norwich,Stoke,"Premier League, England (GB1)",2.25,3.3,3.6,2.25,3.1,3.4,GB1
2014-03-08,West Brom,Man United,"Premier League, England (GB1)",5.0,3.6,1.83,4.75,3.6,1.72,GB1
2014-03-15,Aston Villa,Chelsea,"Premier League, England (GB1)",7.0,4.33,1.53,7.25,4.0,1.48,GB1
2014-03-15,Everton,Cardiff,"Premier League, England (GB1)",1.36,5.0,11.0,1.31,5.0,9.75,GB1
2014-03-15,Fulham,Newcastle,"Premier League, England (GB1)",2.9,3.4,2.6,2.85,3.3,2.45,GB1
2014-03-15,Hull,Man City,"Premier League, England (GB1)",6.5,4.33,1.57,6.25,4.0,1.53,GB1
2014-03-15,Southampton,Norwich,"Premier League, England (GB1)",1.62,4.0,6.5,1.57,3.8,6.0,GB1
2014-03-15,Stoke,West Ham,"Premier League, England (GB1)",2.25,3.3,3.6,2.2,3.2,3.4,GB1
2014-03-15,Sunderland,Crystal Palace,"Premier League, England (GB1)",2.15,3.3,3.9,2.05,3.1,4.0,GB1
2014-03-15,Swansea,West Brom,"Premier League, England (GB1)",1.95,3.6,4.33,1.91,3.4,4.0,GB1
2014-03-16,Man United,Liverpool,"Premier League, England (GB1)",2.5,3.6,2.9,2.45,3.3,2.8,GB1
2014-03-16,Tottenham,Arsenal,"Premier League, England (GB1)",3.1,3.4,2.45,2.95,3.2,2.4,GB1
2014-03-22,Cardiff,Liverpool,"Premier League, England (GB1)",9.5,5.25,1.36,7.5,5.0,1.37,GB1
2014-03-22,Chelsea,Arsenal,"Premier League, England (GB1)",1.85,3.6,4.75,1.87,3.4,4.25,GB1
2014-03-22,Everton,Swansea,"Premier League, England (GB1)",1.67,3.9,6.0,1.62,3.5,6.25,GB1
2014-03-22,Hull,West Brom,"Premier League, England (GB1)",2.25,3.3,3.6,2.1,3.25,3.5,GB1
2014-03-22,Man City,Fulham,"Premier League, England (GB1)",1.17,9.0,17.0,1.16,8.0,13.0,GB1
2014-03-22,Newcastle,Crystal Palace,"Premier League, England (GB1)",1.85,3.6,4.75,1.8,3.5,4.5,GB1
2014-03-22,Norwich,Sunderland,"Premier League, England (GB1)",2.2,3.3,3.75,2.1,3.25,3.5,GB1
2014-03-22,West Ham,Man United,"Premier League, England (GB1)",4.5,3.6,1.91,4.2,3.7,1.8,GB1
2014-03-23,Aston Villa,Stoke,"Premier League, England (GB1)",2.2,3.3,3.75,2.1,3.2,3.6,GB1
2014-03-23,Tottenham,Southampton,"Premier League, England (GB1)",2.25,3.4,3.5,2.1,3.25,3.5,GB1
2014-03-25,Arsenal,Swansea,"Premier League, England (GB1)",1.57,4.2,6.5,1.5,4.2,6.25,GB1
2014-03-25,Man United,Man City,"Premier League, England (GB1)",3.5,3.6,2.15,3.3,3.4,2.15,GB1
2014-03-25,Newcastle,Everton,"Premier League, England (GB1)",3.5,3.4,2.25,3.4,3.2,2.2,GB1
2014-03-26,Liverpool,Sunderland,"Premier League, England (GB1)",1.17,9.0,19.0,1.16,7.5,14.5,GB1
2014-03-26,West Ham,Hull,"Premier League, England (GB1)",2.4,3.3,3.3,2.2,3.25,3.3,GB1
2014-03-29,Arsenal,Man City,"Premier League, England (GB1)",3.6,3.5,2.15,3.5,3.6,2.0,GB1
2014-03-29,Crystal Palace,Chelsea,"Premier League, England (GB1)",10.0,4.75,1.4,7.5,4.6,1.4,GB1
2014-03-29,Man United,Aston Villa,"Premier League, England (GB1)",1.45,4.75,8.0,1.44,4.4,7.0,GB1
2014-03-29,Southampton,Newcastle,"Premier League, England (GB1)",1.75,3.8,5.25,1.72,3.4,5.25,GB1
2014-03-29,Stoke,Hull,"Premier League, England (GB1)",2.15,3.3,3.9,2.1,3.2,3.6,GB1
2014-03-29,Swansea,Norwich,"Premier League, England (GB1)",1.73,3.9,5.25,1.72,3.5,5.0,GB1
2014-03-29,West Brom,Cardiff,"Premier League, England (GB1)",1.83,3.75,4.75,1.8,3.6,4.33,GB1
2014-03-30,Fulham,Everton,"Premier League, England (GB1)",5.0,3.75,1.8,4.5,3.7,1.75,GB1
2014-03-30,Liverpool,Tottenham,"Premier League, England (GB1)",1.48,4.75,7.5,1.42,4.6,7.0,GB1
2014-03-31,Sunderland,West Ham,"Premier League, England (GB1)",2.3,3.3,3.5,2.2,3.25,3.3,GB1
2014-04-05,Aston Villa,Fulham,"Premier League, England (GB1)",2.05,3.5,4.0,1.95,3.4,3.9,GB1
2014-04-05,Cardiff,Crystal Palace,"Premier League, England (GB1)",2.45,3.25,3.25,2.25,3.2,3.25,GB1
2014-04-05,Chelsea,Stoke,"Premier League, England (GB1)",1.29,6.0,13.0,1.23,5.75,13.0,GB1
2014-04-05,Hull,Swansea,"Premier League, England (GB1)",2.75,3.3,2.8,2.5,3.1,2.9,GB1
2014-04-05,Man City,Southampton,"Premier League, England (GB1)",1.33,5.75,10.0,1.3,5.5,8.75,GB1
2014-04-05,Newcastle,Man United,"Premier League, England (GB1)",4.2,3.7,1.95,4.0,3.5,1.88,GB1
2014-04-05,Norwich,West Brom,"Premier League, England (GB1)",2.4,3.3,3.25,2.35,3.25,3.0,GB1
2014-04-06,Everton,Arsenal,"Premier League, England (GB1)",2.5,3.4,3.0,2.4,3.25,2.95,GB1
2014-04-06,West Ham,Liverpool,"Premier League, England (GB1)",9.0,5.0,1.4,7.75,5.0,1.36,GB1
2014-04-07,Tottenham,Sunderland,"Premier League, England (GB1)",1.57,4.2,6.5,1.55,3.9,6.0,GB1
2014-04-12,Crystal Palace,Aston Villa,"Premier League, England (GB1)",2.15,3.3,3.9,2.1,3.25,3.5,GB1
2014-04-12,Fulham,Norwich,"Premier League, England (GB1)",2.15,3.5,3.6,2.15,3.2,3.4,GB1
2014-04-12,Southampton,Cardiff,"Premier League, England (GB1)",1.45,4.75,8.0,1.45,4.33,6.5,GB1
2014-04-12,Stoke,Newcastle,"Premier League, England (GB1)",2.1,3.4,3.9,2.1,3.3,3.4,GB1
2014-04-12,Sunderland,Everton,"Premier League, England (GB1)",4.75,3.7,1.83,4.6,3.5,1.75,GB1
2014-04-12,West Brom,Tottenham,"Premier League, England (GB1)",3.1,3.6,2.38,3.0,3.3,2.3,GB1
2014-04-13,Liverpool,Man City,"Premier League, England (GB1)",2.45,3.7,2.9,2.35,3.3,2.9,GB1
2014-04-13,Swansea,Chelsea,"Premier League, England (GB1)",5.0,3.6,1.83,4.6,3.5,1.75,GB1
2014-04-15,Arsenal,West Ham,"Premier League, England (GB1)",1.4,5.0,9.0,1.4,4.5,7.25,GB1
2014-04-16,Everton,Crystal Palace,"Premier League, England (GB1)",1.4,4.75,10.0,1.4,4.5,7.5,GB1
2014-04-16,Man City,Sunderland,"Premier League, England (GB1)",1.17,9.0,17.0,1.14,7.5,17.0,GB1
2014-04-19,Aston Villa,Southampton,"Premier League, England (GB1)",3.4,3.4,2.1,3.4,3.3,2.1,GB1
2014-04-19,Cardiff,Stoke,"Premier League, England (GB1)",2.38,3.2,3.0,2.5,3.25,2.75,GB1
2014-04-19,Chelsea,Sunderland,"Premier League, England (GB1)",1.18,7.0,13.0,1.2,6.5,12.5,GB1
2014-04-19,Newcastle,Swansea,"Premier League, England (GB1)",2.63,3.3,2.6,2.6,3.25,2.65,GB1
2014-04-19,Tottenham,Fulham,"Premier League, England (GB1)",1.5,4.2,6.5,1.45,4.33,6.75,GB1
2014-04-19,West Ham,Crystal Palace,"Premier League, England (GB1)",2.2,3.2,3.4,2.15,3.2,3.4,GB1
2014-04-20,Everton,Man United,"Premier League, England (GB1)",2.4,3.4,2.8,2.4,3.2,2.9,GB1
2014-04-20,Hull,Arsenal,"Premier League, England (GB1)",4.5,3.6,1.8,4.75,3.25,1.8,GB1
2014-04-20,Norwich,Liverpool,"Premier League, England (GB1)",8.5,5.0,1.33,7.5,5.0,1.36,GB1
2014-04-21,Man City,West Brom,"Premier League, England (GB1)",1.2,7.0,11.0,1.2,6.5,12.0,GB1
2014-04-26,Fulham,Hull,"Premier League, England (GB1)",2.3,3.4,3.4,2.25,3.25,3.1,GB1
2014-04-26,Man United,Norwich,"Premier League, England (GB1)",1.36,5.25,9.5,1.34,5.0,8.0,GB1
2014-04-26,Southampton,Everton,"Premier League, England (GB1)",2.8,3.5,2.6,2.75,3.4,2.4,GB1
2014-04-26,Stoke,Tottenham,"Premier League, England (GB1)",3.2,3.4,2.38,2.9,3.4,2.3,GB1
2014-04-26,Swansea,Aston Villa,"Premier League, England (GB1)",1.7,3.75,6.0,1.6,3.75,5.5,GB1
2014-04-26,West Brom,West Ham,"Premier League, England (GB1)",1.91,3.75,4.33,1.9,3.4,4.0,GB1
2014-04-27,Crystal Palace,Man City,"Premier League, England (GB1)",7.5,5.0,1.44,7.0,4.25,1.44,GB1
2014-04-27,Liverpool,Chelsea,"Premier League, England (GB1)",1.67,4.2,5.25,1.62,4.1,4.75,GB1
2014-04-27,Sunderland,Cardiff,"Premier League, England (GB1)",1.91,3.75,4.33,1.91,3.4,4.0,GB1
2014-04-28,Arsenal,Newcastle,"Premier League, England (GB1)",1.29,6.0,12.0,1.28,5.5,9.25,GB1
2014-05-03,Aston Villa,Hull,"Premier League, England (GB1)",2.5,3.3,3.1,2.45,3.1,2.95,GB1
2014-05-03,Everton,Man City,"Premier League, England (GB1)",5.0,4.0,1.75,4.5,3.8,1.7,GB1
2014-05-03,Man United,Sunderland,"Premier League, England (GB1)",1.36,5.75,8.5,1.34,5.0,8.0,GB1
2014-05-03,Newcastle,Cardiff,"Premier League, England (GB1)",2.05,3.6,3.8,1.91,3.6,3.7,GB1
2014-05-03,Stoke,Fulham,"Premier League, England (GB1)",2.3,3.6,3.25,2.3,3.3,3.0,GB1
2014-05-03,Swansea,Southampton,"Premier League, England (GB1)",2.5,3.4,3.0,2.3,3.4,2.9,GB1
2014-05-03,West Ham,Tottenham,"Premier League, England (GB1)",4.33,3.75,1.91,4.0,3.6,1.85,GB1
2014-05-04,Arsenal,West Brom,"Premier League, England (GB1)",1.29,6.0,13.0,1.28,5.5,9.25,GB1
2014-05-04,Chelsea,Norwich,"Premier League, England (GB1)",1.2,7.5,17.0,1.2,6.5,11.5,GB1
2014-05-05,Crystal Palace,Liverpool,"Premier League, England (GB1)",9.0,5.0,1.4,7.5,5.0,1.36,GB1
2014-05-06,Man United,Hull,"Premier League, England (GB1)",1.36,5.5,9.0,1.33,4.75,9.0,GB1
2014-05-07,Man City,Aston Villa,"Premier League, England (GB1)",1.14,9.5,21.0,1.11,9.25,16.5,GB1
2014-05-07,Sunderland,West Brom,"Premier League, England (GB1)",2.1,3.2,4.2,2.1,2.9,4.0,GB1
2014-05-11,Cardiff,Chelsea,"Premier League, England (GB1)",8.0,4.75,1.44,7.75,4.75,1.36,GB1
2014-05-11,Fulham,Crystal Palace,"Premier League, England (GB1)",2.63,3.5,2.8,2.6,3.2,2.7,GB1
2014-05-11,Hull,Everton,"Premier League, England (GB1)",4.0,3.6,2.0,3.6,3.4,2.0,GB1
2014-05-11,Liverpool,Newcastle,"Premier League, England (GB1)",1.22,7.5,13.0,1.2,6.5,12.5,GB1
2014-05-11,Man City,West Ham,"Premier League, England (GB1)",1.17,9.0,17.0,1.14,8.0,14.5,GB1
2014-05-11,Norwich,Arsenal,"Premier League, England (GB1)",4.5,3.8,1.85,4.0,3.5,1.87,GB1
2014-05-11,Southampton,Man United,"Premier League, England (GB1)",2.63,3.5,2.8,2.6,3.3,2.6,GB1
2014-05-11,Sunderland,Swansea,"Premier League, England (GB1)",2.3,3.4,3.4,2.2,3.4,3.1,GB1
2014-05-11,Tottenham,Aston Villa,"Premier League, England (GB1)",1.5,4.5,7.5,1.45,4.5,6.25,GB1
2014-05-11,West Brom,Stoke,"Premier League, England (GB1)",2.1,3.6,3.75,2.0,3.4,3.6,GB1
2013-08-17,Sociedad,Getafe,"La Liga, Spain (ES1)",1.73,3.6,4.75,1.72,3.6,4.75,ES1
2013-08-17,Valencia,Malaga,"La Liga, Spain (ES1)",1.53,4.0,6.0,1.57,4.0,5.5,ES1
2013-08-17,Valladolid,Ath Bilbao,"La Liga, Spain (ES1)",2.5,3.3,2.8,2.6,3.3,2.65,ES1
2013-08-18,Barcelona,Levante,"La Liga, Spain (ES1)",1.08,10.0,26.0,1.08,10.5,23.0,ES1
2013-08-18,Osasuna,Granada,"La Liga, Spain (ES1)",2.0,3.3,3.75,2.0,3.3,3.8,ES1
2013-08-18,Real Madrid,Betis,"La Liga, Spain (ES1)",1.17,7.0,17.0,1.16,7.75,13.5,ES1
2013-08-18,Sevilla,Ath Madrid,"La Liga, Spain (ES1)",2.8,3.3,2.5,2.7,3.4,2.5,ES1
2013-08-19,Almeria,Villarreal,"La Liga, Spain (ES1)",2.6,3.2,2.75,2.55,3.25,2.75,ES1
2013-08-19,Celta,Espanol,"La Liga, Spain (ES1)",2.2,3.2,3.4,2.15,3.4,3.3,ES1
2013-08-19,Vallecano,Elche,"La Liga, Spain (ES1)",2.25,3.25,3.25,2.2,3.3,3.25,ES1
2013-08-23,Ath Bilbao,Osasuna,"La Liga, Spain (ES1)",1.62,3.75,5.5,1.62,3.7,5.75,ES1
2013-08-23,Getafe,Almeria,"La Liga, Spain (ES1)",1.85,3.5,4.2,1.8,3.4,4.6,ES1
2013-08-24,Elche,Sociedad,"La Liga, Spain (ES1)",3.2,3.4,2.2,3.4,3.3,2.15,ES1
2013-08-24,Espanol,Valencia,"La Liga, Spain (ES1)",3.0,3.25,2.38,3.1,3.3,2.25,ES1
2013-08-24,Villarreal,Valladolid,"La Liga, Spain (ES1)",1.85,3.6,4.0,1.85,3.4,4.33,ES1
2013-08-25,Ath Madrid,Vallecano,"La Liga, Spain (ES1)",1.29,5.25,10.0,1.34,4.75,9.25,ES1
2013-08-25,Betis,Celta,"La Liga, Spain (ES1)",1.8,3.5,4.5,1.72,3.7,4.75,ES1
2013-08-25,Levante,Sevilla,"La Liga, Spain (ES1)",3.5,3.3,2.1,3.5,3.25,2.1,ES1
2013-08-25,Malaga,Barcelona,"La Liga, Spain (ES1)",13.0,6.0,1.22,14.0,6.25,1.2,ES1
2013-08-26,Granada,Real Madrid,"La Liga, Spain (ES1)",7.5,5.5,1.33,9.25,5.25,1.3,ES1
2013-08-30,Almeria,Elche,"La Liga, Spain (ES1)",2.0,3.3,3.8,2.0,3.3,3.8,ES1
2013-08-30,Vallecano,Levante,"La Liga, Spain (ES1)",1.73,3.6,4.75,1.8,3.7,4.2,ES1
2013-08-31,Celta,Granada,"La Liga, Spain (ES1)",2.2,3.3,3.3,2.2,3.2,3.4,ES1
2013-08-31,Osasuna,Villarreal,"La Liga, Spain (ES1)",2.5,3.2,2.88,2.5,3.25,2.8,ES1
2013-08-31,Valladolid,Getafe,"La Liga, Spain (ES1)",2.1,3.3,3.5,2.1,3.3,3.5,ES1
2013-09-01,Espanol,Betis,"La Liga, Spain (ES1)",2.05,3.4,3.6,2.0,3.5,3.6,ES1
2013-09-01,Real Madrid,Ath Bilbao,"La Liga, Spain (ES1)",1.17,7.0,16.0,1.16,7.75,13.5,ES1
2013-09-01,Sevilla,Malaga,"La Liga, Spain (ES1)",1.62,3.8,5.5,1.57,3.9,5.75,ES1
2013-09-01,Sociedad,Ath Madrid,"La Liga, Spain (ES1)",2.9,3.3,2.38,2.8,3.25,2.5,ES1
2013-09-01,Valencia,Barcelona,"La Liga, Spain (ES1)",5.5,4.33,1.53,6.25,4.4,1.48,ES1
2013-09-14,Ath Madrid,Almeria,"La Liga, Spain (ES1)",1.25,6.0,11.0,1.26,5.5,11.0,ES1
2013-09-14,Barcelona,Sevilla,"La Liga, Spain (ES1)",1.18,7.0,15.0,1.18,7.0,13.5,ES1
2013-09-14,Levante,Sociedad,"La Liga, Spain (ES1)",3.1,3.25,2.3,3.25,3.2,2.25,ES1
2013-09-14,Villarreal,Real Madrid,"La Liga, Spain (ES1)",5.5,4.2,1.57,5.25,4.33,1.55,ES1
2013-09-15,Betis,Valencia,"La Liga, Spain (ES1)",2.63,3.3,2.63,2.85,3.4,2.55,ES1
2013-09-15,Getafe,Osasuna,"La Liga, Spain (ES1)",1.95,3.3,4.0,1.91,3.5,3.9,ES1
2013-09-15,Granada,Espanol,"La Liga, Spain (ES1)",2.4,3.2,3.0,2.4,3.2,3.2,ES1
2013-09-15,Malaga,Vallecano,"La Liga, Spain (ES1)",1.91,3.5,4.0,1.91,3.6,3.8,ES1
2013-09-16,Ath Bilbao,Celta,"La Liga, Spain (ES1)",1.67,3.75,5.0,1.72,3.75,5.25,ES1
2013-09-16,Elche,Valladolid,"La Liga, Spain (ES1)",2.25,3.25,3.25,2.3,3.3,3.1,ES1
2013-09-20,Osasuna,Elche,"La Liga, Spain (ES1)",2.0,3.4,3.75,1.91,3.3,4.2,ES1
2013-09-21,Almeria,Levante,"La Liga, Spain (ES1)",1.8,3.5,4.5,1.85,3.4,4.33,ES1
2013-09-21,Sociedad,Malaga,"La Liga, Spain (ES1)",1.91,3.5,4.0,1.95,3.5,3.75,ES1
2013-09-21,Valladolid,Ath Madrid,"La Liga, Spain (ES1)",5.0,3.6,1.7,5.5,3.7,1.62,ES1
2013-09-21,Vallecano,Barcelona,"La Liga, Spain (ES1)",13.0,6.5,1.2,13.0,6.5,1.2,ES1
2013-09-22,Betis,Granada,"La Liga, Spain (ES1)",1.67,3.6,5.5,1.75,3.6,4.6,ES1
2013-09-22,Celta,Villarreal,"La Liga, Spain (ES1)",2.75,3.3,2.5,2.7,3.4,2.5,ES1
2013-09-22,Real Madrid,Getafe,"La Liga, Spain (ES1)",1.13,8.5,19.0,1.11,9.25,18.0,ES1
2013-09-22,Valencia,Sevilla,"La Liga, Spain (ES1)",1.91,3.4,4.0,1.91,3.5,3.9,ES1
2013-09-23,Espanol,Ath Bilbao,"La Liga, Spain (ES1)",2.3,3.4,3.0,2.25,3.3,3.1,ES1
2013-09-24,Ath Madrid,Osasuna,"La Liga, Spain (ES1)",1.2,6.0,15.0,1.2,6.25,13.5,ES1
2013-09-24,Barcelona,Sociedad,"La Liga, Spain (ES1)",1.13,8.0,19.0,1.12,9.0,15.5,ES1
2013-09-24,Levante,Valladolid,"La Liga, Spain (ES1)",2.1,3.3,3.5,2.05,3.2,3.7,ES1
2013-09-24,Malaga,Almeria,"La Liga, Spain (ES1)",1.67,3.75,5.0,1.67,3.8,4.75,ES1
2013-09-25,Elche,Real Madrid,"La Liga, Spain (ES1)",10.0,5.5,1.29,9.25,5.5,1.28,ES1
2013-09-25,Granada,Valencia,"La Liga, Spain (ES1)",3.1,3.25,2.3,3.1,3.2,2.3,ES1
2013-09-25,Sevilla,Vallecano,"La Liga, Spain (ES1)",1.44,4.2,7.5,1.48,4.25,6.25,ES1
2013-09-26,Ath Bilbao,Betis,"La Liga, Spain (ES1)",1.95,3.5,3.75,1.9,3.5,3.9,ES1
2013-09-26,Getafe,Celta,"La Liga, Spain (ES1)",2.1,3.3,3.5,2.1,3.2,3.6,ES1
2013-09-26,Villarreal,Espanol,"La Liga, Spain (ES1)",1.73,3.5,5.0,1.72,3.5,5.0,ES1
2013-09-27,Valladolid,Malaga,"La Liga, Spain (ES1)",2.9,3.2,2.45,2.75,3.4,2.45,ES1
2013-09-28,Almeria,Barcelona,"La Liga, Spain (ES1)",13.0,7.0,1.18,13.5,7.0,1.18,ES1
2013-09-28,Real Madrid,Ath Madrid,"La Liga, Spain (ES1)",1.62,3.75,5.5,1.62,4.2,4.75,ES1
2013-09-28,Sociedad,Sevilla,"La Liga, Spain (ES1)",2.2,3.4,3.2,2.15,3.4,3.3,ES1
2013-09-28,Valencia,Vallecano,"La Liga, Spain (ES1)",1.29,5.25,10.0,1.34,4.75,9.25,ES1
2013-09-29,Betis,Villarreal,"La Liga, Spain (ES1)",2.5,3.3,2.75,2.35,3.3,2.95,ES1
2013-09-29,Celta,Elche,"La Liga, Spain (ES1)",1.91,3.4,4.0,1.87,3.3,4.4,ES1
2013-09-29,Espanol,Getafe,"La Liga, Spain (ES1)",1.7,3.6,5.0,1.75,3.4,5.0,ES1
2013-09-29,Osasuna,Levante,"La Liga, Spain (ES1)",2.05,3.3,3.6,2.05,3.25,3.7,ES1
2013-09-30,Granada,Ath Bilbao,"La Liga, Spain (ES1)",2.75,3.3,2.5,2.65,3.3,2.6,ES1
2013-10-04,Malaga,Osasuna,"La Liga, Spain (ES1)",1.53,4.0,6.0,1.57,3.8,6.0,ES1
2013-10-04,Villarreal,Granada,"La Liga, Spain (ES1)",1.44,4.33,7.0,1.48,4.0,7.25,ES1
2013-10-05,Barcelona,Valladolid,"La Liga, Spain (ES1)",1.09,10.0,21.0,1.1,9.0,21.0,ES1
