date,home_team,away_team,League,B365H,B365D,B365A,BWH,BWD,BWA,competition_id
2013-09-21,Nurnberg,Dortmund,"Bundesliga, Germany (L1)",8.0,5.25,1.33,8.5,5.5,1.3,L1
2013-09-21,Schalke 04,Bayern Munich,"Bundesliga, Germany (L1)",5.5,4.33,1.53,5.25,4.5,1.53,L1
2013-09-21,Wolfsburg,Hoffenheim,"Bundesliga, Germany (L1)",1.73,4.0,4.2,1.7,3.8,4.6,L1
2013-09-22,Freiburg,Hertha,"Bundesliga, Germany (L1)",2.38,3.4,2.9,2.4,3.4,2.8,L1
2013-09-22,Stuttgart,Ein Frankfurt,"Bundesliga, Germany (L1)",2.15,3.4,3.3,2.25,3.5,3.0,L1
2013-09-27,Augsburg,M'gladbach,"Bundesliga, Germany (L1)",2.5,3.25,2.8,2.55,3.4,2.65,L1
2013-09-28,Bayern Munich,Wolfsburg,"Bundesliga, Germany (L1)",1.14,8.0,15.0,1.17,8.0,11.5,L1
2013-09-28,Dortmund,Freiburg,"Bundesliga, Germany (L1)",1.18,7.0,13.0,1.22,6.5,10.5,L1
2013-09-28,Ein Frankfurt,Hamburg,"Bundesliga, Germany (L1)",1.8,3.6,4.33,1.8,3.75,4.1,L1
2013-09-28,Hertha,Mainz,"Bundesliga, Germany (L1)",2.0,3.6,3.5,2.0,3.4,3.7,L1
2013-09-28,Hoffenheim,Schalke 04,"Bundesliga, Germany (L1)",2.8,3.3,2.5,2.7,3.4,2.5,L1
2013-09-28,Leverkusen,Hannover,"Bundesliga, Germany (L1)",1.33,5.0,9.0,1.35,5.5,7.0,L1
2013-09-29,Braunschweig,Stuttgart,"Bundesliga, Germany (L1)",4.0,3.5,1.91,3.6,3.7,1.95,L1
2013-09-29,Werder Bremen,Nurnberg,"Bundesliga, Germany (L1)",2.05,3.5,3.4,2.05,3.3,3.7,L1
2013-10-04,Hannover,Hertha,"Bundesliga, Germany (L1)",2.25,3.4,3.1,2.3,3.3,3.1,L1
2013-10-05,Leverkusen,Bayern Munich,"Bundesliga, Germany (L1)",5.0,4.2,1.6,5.25,4.0,1.6,L1
2013-10-05,Mainz,Hoffenheim,"Bundesliga, Germany (L1)",2.25,3.5,3.0,2.35,3.5,2.8,L1
